MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-628ac43,319.3,0.88,QMOF reference
qmof-f0e2ea0,,FAILED,QMOF reference
qmof-b4a0c42,338.9,0.39,QMOF reference
qmof-641e42c,449.8,0.61,QMOF reference
qmof-8389efb,289.8,0.58,QMOF reference
qmof-5a49de7,373.0,0.83,QMOF reference
qmof-807e547,254.6,0.46,QMOF reference
qmof-de67c10,364.8,0.78,QMOF reference
qmof-8f79859,255.2,0.93,QMOF reference
qmof-b4e619a,271.1,0.85,QMOF reference
qmof-4481428,,FAILED,QMOF reference
qmof-9f8e842,397.8,0.9,QMOF reference
qmof-8b3b2f2,254.1,0.91,QMOF reference
qmof-8a8d2e8,,FAILED,QMOF reference
qmof-ffe5987,291.9,0.7,QMOF reference
qmof-97759af,303.5,0.38,QMOF reference
qmof-322e474,,FAILED,QMOF reference
qmof-4b5e7db,,FAILED,QMOF reference
qmof-7b33e90,332.3,0.94,QMOF reference
qmof-437d9f5,365.3,0.91,QMOF reference
qmof-ef64fbc,178.7,0.97,QMOF reference
qmof-2aa55ae,,FAILED,QMOF reference
qmof-5168b8c,334.2,0.4,QMOF reference
qmof-28aae3b,280.9,0.19,QMOF reference
qmof-21587e2,396.1,0.96,QMOF reference
qmof-eccc1db,,FAILED,QMOF reference
qmof-1a6c50b,419.7,0.94,QMOF reference
qmof-2521623,239.8,0.48,QMOF reference
qmof-86b73f0,348.1,0.43,QMOF reference
qmof-8a40c3c,366.2,0.84,QMOF reference
qmof-156cc42,,FAILED,QMOF reference
qmof-911e7f0,359.4,0.24,QMOF reference
qmof-a7453c3,333.1,0.1,QMOF reference
qmof-417cefc,288.5,0.4,QMOF reference
qmof-d383524,319.9,0.35,QMOF reference
qmof-2a8a99e,,FAILED,QMOF reference
qmof-1f4857d,359.6,0.97,QMOF reference
qmof-19fcfb8,282.5,0.77,QMOF reference
qmof-37494c0,350.1,0.2,QMOF reference
qmof-7ee5feb,366.7,0.63,QMOF reference
qmof-c59d8b8,267.4,0.15,QMOF reference
qmof-f7be576,341.4,0.7,QMOF reference
qmof-b7f8729,354.0,0.63,QMOF reference
qmof-9eeead2,374.9,0.94,QMOF reference
