Angle,AA_3-12-2_Zn-DMF
19.2730400,.0019006
19.2934500,.0019083
19.3138700,.0020454
19.3342900,.0021179
19.3547100,.0021580
19.3751200,.0024245
19.3955400,.0024647
19.4159600,.0022139
19.4363700,.0019307
19.4567900,.0017446
19.4772100,.0018171
19.4976300,.0013399
19.5180400,.0012831
19.5384600,.0013233
19.5588800,.0012666
19.5792900,.0010481
19.5997100,.0010884
19.6201300,.0013551
19.6405400,.0013954
19.6609600,.0015651
19.6813800,.0015407
19.7018000,.0017103
19.7222100,.0014273
19.7426300,.0013059
19.7630500,.0010229
19.7834700,.0008046
19.8038800,.0007480
19.8243000,.0005621
19.8447200,.0007318
19.8651400,.0008046
19.8855500,.0010714
19.9059700,.0010471
19.9263900,.0016696
19.9468000,.0017424
19.9672200,.0018475
19.9876400,.0015000
20.0080500,.0017991
20.0284700,.0015163
20.0488900,.0017509
20.0693100,.0014680
20.0897200,.0019289
20.1101400,.0015814
20.1305600,.0014926
20.1509800,.0009834
20.1713900,.0007653
20.1918100,.0008382
20.2122300,.0010082
20.2326400,.0010811
20.2530600,.0011864
20.2734800,.0018415
20.2939000,.0019791
20.3143100,.0018580
20.3347300,.0021250
20.3551500,.0022627
20.3755600,.0018183
20.3959800,.0018266
20.4164000,.0019967
20.4368200,.0018757
20.4572300,.0022074
20.4776500,.0025068
20.4980700,.0022565
20.5184800,.0023619
20.5389000,.0026290
20.5593200,.0024110
20.5797400,.0021607
20.6001500,.0023632
20.6205700,.0020806
20.6409900,.0018627
20.6614100,.0021945
20.6818200,.0026880
20.7022400,.0026641
20.7226600,.0029636
20.7430700,.0029073
20.7634900,.0020751
20.7839100,.0018895
20.8043300,.0017040
20.8247400,.0017771
20.8451600,.0017533
20.8655800,.0019235
20.8859900,.0016733
20.9064100,.0013585
20.9268300,.0012700
20.9472400,.0014725
20.9676600,.0012870
20.9880800,.0015542
21.0085000,.0017244
21.0289100,.0018623
21.0493300,.0017091
21.0697500,.0020734
21.0901700,.0014029
21.1105800,.0017671
21.1310000,.0015170
21.1514200,.0013638
21.1718300,.0012107
21.1922500,.0015749
21.2126700,.0011631
21.2330900,.0012040
21.2535000,.0012449
21.2739200,.0015122
21.2943400,.0014884
21.3147500,.0016587
21.3351700,.0017642
21.3555900,.0015788
21.3760100,.0013933
21.3964200,.0018223
21.4168400,.0019925
21.4372600,.0020011
21.4576700,.0023007
21.4780900,.0022123
21.4985100,.0016388
21.5189300,.0014210
21.5393400,.0013650
21.5597600,.0009208
21.5801800,.0011881
21.6006000,.0014554
21.6210100,.0017550
21.6414300,.0013432
21.6618500,.0014488
21.6822600,.0010047
21.7026800,.0013043
21.7231000,.0010219
21.7435200,.0013862
21.7639300,.0018475
21.7843500,.0020825
21.8047700,.0019294
21.8251800,.0017440
21.8456000,.0013969
21.8660200,.0008881
21.8864400,.0007674
21.9068500,.0007437
21.9272700,.0005906
